   8.8530802e+00   2.8860270e-01  -2.0738097e+00  -1.3248536e+01   2.0015516e+00   4.3466817e+01   1.7000000e+00
   8.4924966e+00   3.3619993e-01  -1.0136162e+00  -1.5095796e+01   1.0027494e+00   4.1343918e+01   1.7250000e+00
   8.1057751e+00   3.4006072e-01   1.9715938e-02  -1.6261292e+01  -1.5379308e-01   4.1789413e+01   1.7500000e+00
   7.6525044e+00   3.3230845e-01   1.0637343e+00  -2.0337609e+01  -1.0140127e+00   4.1496345e+01   1.7750000e+00
   7.1054824e+00   2.8626777e-01   2.0813053e+00  -2.2937127e+01  -1.9186298e+00   3.9755986e+01   1.8000000e+00
   6.4989369e+00   2.7056377e-01   3.0475950e+00  -2.5822379e+01   1.0521804e+00   3.7725827e+01   1.8250000e+00
   5.8073946e+00   3.1974477e-01   3.9712972e+00  -2.9792787e+01   2.3165886e+00   3.5767280e+01   1.8500000e+00
   5.0240217e+00   3.6751428e-01   4.8147256e+00  -3.2083940e+01   9.2756225e-01   3.1701212e+01   1.8750000e+00
   4.2088597e+00   3.6710781e-01   5.5597276e+00  -3.3452300e+01  -4.4879672e-01   2.8118859e+01   1.9000000e+00
   3.3304692e+00   3.4881926e-01   6.2069857e+00  -3.6148321e+01  -1.6850758e+00   2.3431443e+01   1.9250000e+00
   2.4169117e+00   2.9759265e-01   6.7380187e+00  -3.5825665e+01  -1.7767052e+00   1.8847002e+01   1.9500000e+00
   1.5302942e+00   2.7545703e-01   7.1544765e+00  -3.5327162e+01  -5.0168312e-01   1.4638524e+01   1.9750000e+00
   6.6488086e-01   2.6085632e-01   7.4753370e+00  -3.3728602e+01  -1.7465090e-01   1.1603483e+01   2.0000000e+00
  -1.7672461e-01   2.6366845e-01   7.7364337e+00  -3.3100395e+01  -2.7730616e-01   9.3598221e+00   2.0250000e+00
  -9.7144445e-01   2.4086810e-01   7.9447421e+00  -3.0762909e+01  -1.2619351e+00   7.1624420e+00   2.0500000e+00
  -1.7269425e+00   1.9248146e-01   8.1131121e+00  -2.9676960e+01  -2.8602027e+00   6.1738149e+00   2.0750000e+00
  -2.4436917e+00   1.0526070e-01   8.2412107e+00  -2.7578487e+01  -4.0948555e+00   4.3053252e+00   2.1000000e+00
  -3.1007544e+00   3.9695911e-03   8.3319259e+00  -2.4169335e+01  -3.5920734e+00   3.2846830e+00   2.1250000e+00
  -3.6644174e+00  -6.3216273e-02   8.4127466e+00  -2.0972148e+01  -1.8066267e+00   2.5615247e+00   2.1500000e+00
  -4.1831312e+00  -8.9422205e-02   8.4628853e+00  -2.0698311e+01  -6.3111934e-01   1.8276175e+00   2.1750000e+00
  -4.6782171e+00  -9.6790438e-02   8.5275386e+00  -1.8450627e+01  -6.5565438e-01   3.0703388e+00   2.2000000e+00
  -5.1132893e+00  -1.2010911e-01   8.6049222e+00  -1.5660934e+01  -1.0858847e+00   3.2237912e+00   2.2250000e+00
  -5.4731263e+00  -1.3355645e-01   8.6987077e+00  -1.3731150e+01   8.6756429e-02   4.2181316e+00   2.2500000e+00
  -5.7924233e+00  -1.4459693e-01   8.8112592e+00  -1.2076438e+01  -1.3581965e+00   4.9044201e+00   2.2750000e+00
  -6.0448847e+00  -1.8936737e-01   8.9372484e+00  -9.0096756e+00  -2.0233752e+00   5.3376716e+00   2.3000000e+00
  -6.2477864e+00  -2.1848008e-01   9.0775158e+00  -7.4036644e+00  -1.8415753e-01   6.0442014e+00   2.3250000e+00
  -6.4206337e+00  -1.9500137e-01   9.2342127e+00  -6.1578409e+00   4.8320957e-01   6.4058805e+00   2.3500000e+00
  -6.5415861e+00  -1.8097989e-01   9.3883974e+00  -4.2777637e+00   3.9493819e-01   6.2502520e+00   2.3750000e+00
  -6.6121923e+00  -1.5775874e-01   9.5590944e+00  -2.4498365e+00   1.3849475e+00   7.5686072e+00   2.4000000e+00
